Rand_fix	Completed	activity_code	region	state	ESOffice.x	title	lead_agency	FY	FY_start	FY_concl	start_date	date_formal_consult	due_date	FWS_concl_date	elapsed	date_active_concl	timely_concl	hours_logged	events_logged	formal_consult	consult_type	consult_complex	work_type	work_category	ARRA	datum	lat_dec_deg	long_dec_deg	lat_deg	lat_min	lat_sec	long_deg	long_min	long_sec	UTM_E	UTM_N	UTM_zone	spp_ev_ls	spp_BO_ls	n_spp_eval	n_spp_BO	n_nofx	n_NLAA	n_conc	n_jeop	n_rpa	n_admo	n_tech	staff_lead_hash	staff_support_hash	Region	ESOffice.y	Latitude	Longitude	Datum
0.049807002	NA	81440-2008-F-0219	8	CA	VENTURA FISH AND WILDLIFE OFFICE	"Needles Highway Improvement Project, San Bernardino County"	Bureau of Indian Affairs	2008	2008	2008	12/14/07	39476	39611	5/7/08	99	5/7/08	Yes	No	No	Yes	Formal Consultation	Standard	transportation - road / highway	transportation	No ARRA funding	NAD83	NA	NA	NA	NA	NA	NA	NA	NA	3872570	712355	11	"Tortoise, desert (Gopherus agassizii)"	NA	1	0	NA	NA	NA	NA	0	NA	NA	36fa584f2ee8812a2ac2ebf0ff84d57b	None	8	VENTURA FISH AND WILDLIFE OFFICE	34.97344	-114.67304	NAD27
0.052189915	NA	08EVEN00-2012-F-0114	8	CA	VENTURA FISH AND WILDLIFE OFFICE	"Rancho Monte Alegre Access Rd and Bridge Project, CVWD"	Army Corps of Engineers	2012	2012	2012	12/14/11	40891	41026	2/9/12	57	2/9/12	Yes	No	No	Yes	Formal Consultation	Standard	bridge construction / maintenance	bridge construction / maintenance	No ARRA funding	WGS84	34.427906	-119.529729	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Frog, California red-legged (Rana draytonii)"	NA	1	0	NA	NA	NA	NA	0	NA	NA	918f6e89c1d301f3ede3b186a33059fd	None	8	VENTURA FISH AND WILDLIFE OFFICE	34.42791	-119.52877	NAD27
0.058967938	NA	81420-2009-F-0143	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	"State Route 119 four-lane bypass, also known as Cherry Ave, Kern County, CA"	California Dept. of Transportation District 6	2009	2008	2009	8/25/08	39765	39900	3/17/09	124	3/17/09	Yes	No	No	Yes	Formal Consultation	Standard	transportation - road / highway	transportation	No ARRA funding	WGS84	NA	NA	NA	NA	NA	NA	NA	NA	3899706	284136	11	"Jewelflower, California (Caulanthus californicus); Lizard, blunt-nosed leopard (Gambelia silus); Wooly-threads, San Joaquin (Monolopia (=Lembertia) congdonii)); Fox, San Joaquin kit (Vulpes macrotis mutica); Kangaroo rat, giant (Dipodomys ingens)"	NA	5	0	NA	NA	NA	NA	0	NA	NA	aa0cf3badc3923093a7ecc5a97620aa1	b21d7da12ea0db7c47e6eead64bb07d8	8	SACRAMENTO FISH AND WILDLIFE OFFICE	35.21722	-119.3707	NAD27
0.064763194	NA	41910-2010-F-0017	4	FL	NORTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	KB Home Umbrulla HCP - Volusia	-- OTHER: CONSULTANT --	2010	2010	2010	10/8/09	40129	40264	2/16/10	96	2/16/10	Yes	No	No	Yes	Formal Consultation	Standard	development	development	No ARRA funding	NAD83	28.9192	-81.2312	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Scrub-jay, Florida (Aphelocoma coerulescens)"	"florida scrub-jay (aphelocoma coerulescens): BO = NLAA - N-CP, Formal Consultation Recommended; CH = "	1	2	0	1	0	0	0	0	0	caa6ee90ef9b7db34bacf09387c8e9da	None	4	NORTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	28.91893	-81.23142	NAD27
0.075168588	NA	01EWFW00-2012-F-0244	1	WA	WASHINGTON FISH AND WILDLIFE OFFICE	Skokomish Tribe Skokomish Estuary Restoration Phase 3	Army Corps of Engineers	2012	2012	2012	5/29/12	41058	41193	7/26/12	58	7/26/12	Yes	No	No	Yes	Formal Consultation	Standard	bridge - new construction - federal	bridge	No ARRA funding	NAD83	NA	NA	NA	NA	NA	NA	NA	NA	5242794	490247	10	"Murrelet, marbled (Brachyramphus marmoratus); Trout, bull (Salvelinus confluentus)"	"bull trout (salvelinus confluentus): BO = Non-jeopardy; CH = , marbled murrelet (brachyramphus marmoratus): BO = NLAA - Concurrence Provided; CH = )"	2	2	0	1	1	0	0	0	0	166b98ec8cfeb56c5c65a74fbfdc2401	None	1	WASHINGTON FISH AND WILDLIFE OFFICE	47.33872	-123.12784	NAD27
0.09017608	NA	08EVEN00-2015-F-0160	8	CA	VENTURA FISH AND WILDLIFE OFFICE	"Marsh Street Drive Bridge Replacement Project, Federal Aid Project No. BRLS-5016(050)"	California Dept. of Transportation	2015	2015	2015	3/9/15	42072	42207	3/11/15	2	3/11/15	Yes	No	No	Yes	Formal Consultation	Standard	bridge - maintenance / modification / replacement / upgrade - federal	bridge	No ARRA funding	WGS84	35.274622	-120.669748	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Frog, California red-legged (Rana draytonii)"	NA	1	0	NA	NA	NA	NA	0	NA	NA	abb2371900798078265e53251d43b0e6	None	8	VENTURA FISH AND WILDLIFE OFFICE	35.27465	-120.66874	NAD27
0.093921125	NA	81430-2010-F-0410-R002	8	CA	CARLSBAD FISH AND WILDLIFE OFFICE	[MCBCP] BUI P-1043 CERS 1	Department of Defense (DOD) - Marine Corps	2010	2012	2012	1/13/12	40921	41056	4/9/12	87	4/9/12	Yes	No	No	Yes	Formal Consultation	Standard	development - government / military	development	No ARRA funding	WGS84	33.395244	-117.535146	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Vireo, least Bells (Vireo bellii pusillus); Flycatcher, southwestern willow (Empidonax traillii extimus); Toad, arroyo (=arroyo southwestern) (Anaxyrus californicus); Gnatcatcher, coastal California (Polioptila californica californica)"	NA	4	0	NA	NA	NA	NA	0	NA	NA	bc55e6eb8a0b5c0464ecf88986fc8c39	None	8	CARLSBAD FISH AND WILDLIFE OFFICE	33.39521	-117.53427	NAD27
0.094099902	NA	08EVEN00-2013-F-0113	8	CA	VENTURA FISH AND WILDLIFE OFFICE	Presidio of Monterey Real Property Master Plan	Department of Defense (DOD) - Army	2013	2013	2013	1/22/13	41296	41431	7/18/13	177	7/18/13	No	No	No	Yes	Formal Consultation	Standard	military - operations	military	No ARRA funding	WGS84	35.3246	-120.635948	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Piperia, Yadons (Piperia yadonii)"	NA	1	0	NA	NA	NA	NA	0	NA	NA	b0353ba2c975ff7fef5187776829b275	None	8	VENTURA FISH AND WILDLIFE OFFICE	35.32463	-120.63494	NAD27
0.111429117	NA	81420-2009-F-0117	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	"Road Repair, Eden Canyon Road, Alameda County"	Federal Emergency Management Agency	2009	2009	2010	11/3/08	40023	40158	3/4/10	218	3/4/10	No	No	No	Yes	Formal Consultation	Standard	transportation - road / highway	transportation	No ARRA funding	NAD83	NA	NA	NA	NA	NA	NA	NA	NA	4175875	588274	10	"Whipsnake (=striped racer), Alameda (Masticophis lateralis euryxanthus); Frog, California red-legged (Rana draytonii)"	NA	2	0	NA	NA	NA	NA	0	NA	NA	f308ef2585607c71690126bf755b9cb5	None	8	SACRAMENTO FISH AND WILDLIFE OFFICE	37.72596	-121.99723	NAD27
0.113337835	NA	04EF2000-2014-F-0027	4	FL	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	Midtown Reaches 3 &amp; 4 Sand Placement	Army Corps of Engineers	2014	2014	2014	12/16/13	41636	41710	2/25/14	59	2/25/14	Yes	No	Yes	Yes	Formal Consultation	Standard	shoreline / beach protection / renourishment	shoreline / beach protection / renourishment	No ARRA funding	NAD83	26.73105	-80.03497	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Plover, piping (Charadrius melodus); Sea turtle, hawksbill (Eretmochelys imbricata); Sea turtle, leatherback (Dermochelys coriacea); Manatee, West Indian (Trichechus manatus); Sea turtle, green (Chelonia mydas); Sea turtle, Kemps ridley (Lepidochelys kempii); Sea turtle, loggerhead (Caretta caretta)"	"green sea turtle (chelonia mydas): BO = Non-jeopardy; CH = , hawksbill sea turtle (eretmochelys imbricata): BO = Non-jeopardy; CH = , kemps ridley sea turtle (lepidochelys kempii): BO = Non-jeopardy; CH = , leatherback sea turtle (dermochelys coriacea): BO = Non-jeopardy; CH = , loggerhead sea turtle (caretta caretta): BO = Non-jeopardy; CH = , piping plover (charadrius melodus): BO = Non-jeopardy; CH = , west indian manatee (trichechus manatus): BO = NLAA - Concurrence Provided; CH = )"	7	7	0	1	1	0	0	0	0	1e4ee448c0a31d84381abe62c2cec4cd	None	4	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	26.73071	-80.03521	NAD27
0.120067402	NA	13260-2008-F-0095	1	WA	CENTRAL WASHINGTON FIELD OFFICE	Downing Village OWS       RGP-5	Army Corps of Engineers	2008	2008	2008	7/3/08	39632	39646	7/7/08	4	7/7/08	Yes	No	No	Yes	Formal Consultation	Programmatic Project-Level	private dock / pier - new construction	private dock / pier	No ARRA funding	WGS84	48.0427	-119.6885	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Trout, bull (Salvelinus confluentus)"	bull trout (salvelinus confluentus): BO = Non-jeopardy; CH = 	1	1	0	0	NA	0	0	NA	0	1646a097ff1e3a65739d3d17e18306aa	None	1	CENTRAL WASHINGTON FIELD OFFICE	48.04283	-119.68733	NAD27
0.122868477	NA	41420-2008-F-0001	4	FL	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	Baytree and Marbrissa Dune Restoration	Army Corps of Engineers	2008	2008	2009	10/1/07	39356	39731	10/10/08	375	10/10/08	Yes	No	No	Yes	Formal Consultation	Standard	shoreline / beach protection / renourishment	shoreline / beach protection / renourishment	No ARRA funding	NAD83	27.744823	-80.386396	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Plover, piping (Charadrius melodus); Sea turtle, hawksbill (Eretmochelys imbricata); Mouse, southeastern beach (Peromyscus polionotus niveiventris); Sea turtle, leatherback (Dermochelys coriacea); Sea turtle, green (Chelonia mydas); Sea turtle, Kemps ridley (Lepidochelys kempii); Sea turtle, loggerhead (Caretta caretta)"	"green sea turtle (chelonia mydas): BO = Non-jeopardy; CH = , hawksbill sea turtle (eretmochelys imbricata): BO = Non-jeopardy; CH = , kemps ridley sea turtle (lepidochelys kempii): BO = Non-jeopardy; CH = , leatherback sea turtle (dermochelys coriacea): BO = Non-jeopardy; CH = , loggerhead sea turtle (caretta caretta): BO = Non-jeopardy; CH = , piping plover (charadrius melodus): BO = NLAA - Concurrence Provided; CH = , southeastern beach mouse (peromyscus polionotus niveiventris): BO = NLAA - Concurrence Provided; CH = )"	7	7	0	2	2	0	0	0	0	72ec12276768018991e2736ad71a11df	1e4ee448c0a31d84381abe62c2cec4cd	4	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	27.74452	-80.38662	NAD27
0.123363376	NA	13410-2011-F-0195	1	WA	WASHINGTON FISH AND WILDLIFE OFFICE	WFWO Rainy Mine CERCLA Project-BO	Forest Service	2011	2011	2011	3/29/11	40631	40766	7/14/11	107	7/14/11	Yes	No	No	Yes	Formal Consultation	Standard	transport - road / highway - maintenance / modification / replacement / upgrade - federal	transportation	No ARRA funding	NAD83	NA	NA	NA	NA	NA	NA	NA	NA	5269560	608630	10	"Murrelet, marbled (Brachyramphus marmoratus); Owl, northern spotted (Strix occidentalis caurina)"	"marbled murrelet (brachyramphus marmoratus): BO = Non-jeopardy; CH = No Effect - No Concurrence Required, northern spotted owl (strix occidentalis caurina): BO = Non-jeopardy; CH = No Effect - No Concurrence Required)"	2	2	2	0	NA	0	0	0	0	b3e933d8b9ff55890dae9935209b77b3	None	1	WASHINGTON FISH AND WILDLIFE OFFICE	47.57053	-121.55447	NAD27
0.131388685	NA	08ESMF00-2015-F-0296	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	"Brewer Road Bridge Replacement at Pleasant Grove Creek, Placer County"	California Dept. of Transportation District 3	2015	2015	2015	3/30/15	42093	42228	5/6/15	37	5/6/15	Yes	Yes	Yes	Yes	Formal Consultation	Standard	bridge construction / maintenance	bridge construction / maintenance	No ARRA funding	WGS84	38.8129	-121.451329	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Snake, giant garter (Thamnophis gigas); Tadpole shrimp, vernal pool (Lepidurus packardi); Fairy shrimp, vernal pool (Branchinecta lynchi)"	"giant garter snake (thamnophis gigas): BO = NLAA - Concurrence Provided; CH = , vernal pool fairy shrimp (branchinecta lynchi): BO = Non-jeopardy; CH = , vernal pool tadpole shrimp (lepidurus packardi): BO = Non-jeopardy; CH = )"	3	3	0	1	1	0	0	0	0	b1829dd710bb8ff4042131e5aa63c66a	None	8	SACRAMENTO FISH AND WILDLIFE OFFICE	38.813	-121.45026	NAD27
0.143170147	NA	13410-2010-F-0221	1	WA	WASHINGTON FISH AND WILDLIFE OFFICE	WSDOT WWA Prog. - SR 410 White River Bridge (410/101) Scour Repair	Federal Highway Administration	2010	2010	2010	3/10/10	40247	40382	4/9/10	30	4/9/10	Yes	No	No	Yes	Formal Consultation	Programmatic Project-Level	bridge - maintenance / modification / replacement / upgrade - federal	bridge	No ARRA funding	NAD83	NA	NA	NA	NA	NA	NA	NA	NA	5224964	574015	10	"Trout, bull (Salvelinus confluentus)"	bull trout (salvelinus confluentus): BO = Non-jeopardy; CH = No Adverse Modification	1	1	0	0	NA	0	0	0	0	5945ec3b6752999f8103325592120675	None	1	WASHINGTON FISH AND WILDLIFE OFFICE	47.17418	-122.02204	NAD27
0.149365017	NA	03E15000-2014-F-1289	3	OH	COLUMBUS ECOLOGICAL SERVICES FIELD OFFICE	ODOT-HAM-32F-0.00 / Eastern Corridor Segment I (Red Bank Road) (PID 86461) Hamilton County	Federal Highway Administration	2014	2014	2014	6/17/14	41807	41942	6/30/14	13	6/30/14	Yes	No	No	Yes	Formal Consultation	Programmatic Project-Level	transport - road / highway - maintenance / modification / replacement / upgrade - federal	transportation	No ARRA funding	WGS84	39.1606	-84.4024	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Clover, running buffalo (Trifolium stoloniferum); Mussel, sheepnose (Plethobasus cyphyus); Eagle, bald (Haliaeetus leucocephalus); Bat, northern long-eared (Myotis septentrionalis); Bat, Indiana (Myotis sodalis); Mucket, pink (pearlymussel) (Lampsilis abrupta); Bean, rayed (Villosa fabalis); Mussel, snuffbox (Epioblasma triquetra); Fanshell (Cyprogenia stegaria)"	"bald eagle (haliaeetus leucocephalus): BO = No Effect - Concurrence Provided; CH = , fanshell (cyprogenia stegaria): BO = No Effect - Concurrence Provided; CH = , indiana bat (myotis sodalis): BO = Non-jeopardy; CH = , northern long-eared bat (myotis septentrionalis): BO = Non-jeopardy; CH = , pink mucket (pearlymussel) (lampsilis abrupta): BO = No Effect - Concurrence Provided; CH = , rayed bean (villosa fabalis): BO = No Effect - Concurrence Provided; CH = , running buffalo clover (trifolium stoloniferum): BO = NLAA - Concurrence Provided; CH = , sheepnose mussel (plethobasus cyphyus): BO = No Effect - Concurrence Provided; CH = , snuffbox mussel (epioblasma triquetra): BO = No Effect - Concurrence Provided; CH = )"	9	9	6	1	7	0	0	0	0	c8f7cb224687076828a9544a782c6897	None	3	COLUMBUS ECOLOGICAL SERVICES FIELD OFFICE	39.16054	-84.40246	NAD27
0.14986197	NA	81420-2009-F-0300	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	"State Route 70 Upgrade project, Yuba and Sutter counties"	California Dept. of Transportation District 3	2009	2009	2009	12/24/08	39821	39987	6/15/09	158	6/15/09	Yes	No	No	Yes	Formal Consultation	Standard	transportation - road / highway	transportation	No ARRA funding	NAD83	NA	NA	NA	NA	NA	NA	NA	NA	4311115	626228	10	"Snake, giant garter (Thamnophis gigas); Tadpole shrimp, vernal pool (Lepidurus packardi); Fairy shrimp, vernal pool (Branchinecta lynchi); Beetle, valley elderberry longhorn (Desmocerus californicus dimorphus)"	NA	4	0	NA	NA	NA	NA	0	NA	NA	80cfd6bd8044e4f0bf812cf9dba6cf0f	None	8	SACRAMENTO FISH AND WILDLIFE OFFICE	38.94	-121.54246	NAD27
