rand_fixed	completed	activity_code	region	state	ESOffice.x	title	lead_agency	FY	FY_start	FY_concl	start_date	date_formal_consult	due_date	FWS_concl_date	elapsed	date_active_concl	timely_concl	hours_logged	events_logged	formal_consult	consult_type	consult_complex	work_type	work_category	ARRA	datum	lat_dec_deg	long_dec_deg	lat_deg	lat_min	lat_sec	long_deg	long_min	long_sec	UTM_E	UTM_N	UTM_zone	spp_ev_ls	spp_BO_ls	n_spp_eval	n_spp_BO	n_nofx	n_NLAA	n_conc	n_jeop	n_rpa	n_admo	n_tech	staff_lead_hash	staff_support_hash	with_coord	Region	ESOffice.y	Latitude	Longitude	Datum
0.005493033	NA	02ETAR00-2012-I-0131	2	TX	ARLINGTON ECOLOGICAL SERVICES FIELD OFFICE	Stonebridge of Kelsey Park Apartments	Department of Housing and Urban Development	2012	2012	2012	2/21/12	NA	3/22/12	3/1/12	9	3/1/12	Yes	No	No	No	Informal Consultation	Standard	development - residential	development	No ARRA funding	NAD83	33.475502	-101.897949	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Crane, whooping (Grus americana)"	whooping crane (grus americana): BO = Not Required - See Event Description; CH = 	1	1	0	0	NA	0	0	0	0	ab6efff218b3f6ce2184c919893659ab	a1f622750847141b48d85fd63ed70351	TRUE	2	ARLINGTON ECOLOGICAL SERVICES FIELD OFFICE	33.47542	-101.89751	NAD27
0.00551403	NA	31420-2011-I-1038	3	OH	COLUMBUS ECOLOGICAL SERVICES FIELD OFFICE	ODOT- UNI-33/31-Ramp E (PID 89221)	Federal Highway Administration	2011	2011	2011	7/29/11	NA	8/28/11	9/30/11	63	9/30/11	No	No	No	No	Informal Consultation	Programmatic Project-Level	stream / waterbody - modification - culvert / pipe	stream / waterbody	No ARRA funding	WGS84	40.2556	-83.3725	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Riffleshell, northern (Epioblasma torulosa rangiana); Madtom, Scioto (Noturus trautmani); Eagle, bald (Haliaeetus leucocephalus); Clubshell (Pleurobema clava); Bat, Indiana (Myotis sodalis); Bean, rayed (Villosa fabalis); Rabbitsfoot, rough (Quadrula cylindrica strigillata)"	"bald eagle (haliaeetus leucocephalus): BO = No Effect - No Concurrence Required; CH = , clubshell (pleurobema clava): BO = No Effect - No Concurrence Required; CH = , indiana bat (myotis sodalis): BO = NLAA - Concurrence Provided; CH = , northern riffleshell (epioblasma torulosa rangiana): BO = No Effect - No Concurrence Required; CH = , rabbitsfoot (quadrula cylindrica cylindrica): BO = No Effect - No Concurrence Required; CH = , rayed bean (villosa fabalis): BO = No Effect - No Concurrence Required; CH = , scioto madtom (noturus trautmani): BO = No Effect - No Concurrence Required; CH = )"	7	7	6	1	1	0	0	0	0	85f7915363cf8a0edd208da47e1481d3	None	TRUE	3	COLUMBUS ECOLOGICAL SERVICES FIELD OFFICE	40.25554	-83.37258	NAD27
0.007407382	NA	42410-2009-I-0382	4	SC	SOUTH CAROLINA ECOLOGICAL SERVICES	S&amp;ME - Batesvurg Leesville Industrial Park	-- OTHER: CONSULTANT --	2009	2009	2009	5/11/09	NA	6/3/09	5/28/09	17	5/28/09	Yes	No	No	No	Informal Consultation	Standard	development - commercial	development	No ARRA funding	WGS84	33.925506	-81.48395	NA	NA	NA	NA	NA	NA	NA	NA	NA		 	1	0	NA	NA	NA	NA	0	NA	NA	ebd3683b639caf1daa740c26e57e0570	8919bcba7e1da81ab659e5cf9ae8efc6	TRUE	4	SOUTH CAROLINA ECOLOGICAL SERVICES	33.92536	-81.48412	NAD27
0.007689205	NA	05E2PA00-2012-I-0720	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	Laurel Mountain Midstream Dunlap Creek Gas Pipeline	-- OTHER: CONSULTANT --	2012	2012	2012	4/16/12	NA	5/16/12	6/25/12	70	6/25/12	No	No	No	No	Informal Consultation	Standard	oil or gas pipeline	oil or gas pipeline	No ARRA funding	WGS84	39.977306	-79.8695	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bat, Indiana (Myotis sodalis)"	indiana bat (myotis sodalis): BO = NLAA - Concurrence Provided; CH = 	1	1	0	1	1	0	0	0	0	7374dbb1a08095e21f7ea24479eed338	ae6b1c6028ba5d0b756839ac57566702	TRUE	5	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	39.97723	-79.86973	NAD27
0.008403258	NA	04EM1000-2014-I-0622	4	MS	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	allen engineering pipeline	Federal Energy Regulatory Commission	2014	2014	2014	6/16/14	NA	7/16/14	6/18/14	2	6/18/14	Yes	No	No	No	Informal Consultation	Standard	oil or gas - pipeline - onshore - maintenance / modification / replacement / upgrade - below ground	oil or gas	No ARRA funding	WGS84	33.485991	-88.34762	NA	NA	NA	NA	NA	NA	NA	NA	NA		no species present; CH = No Effect - Concurrence Provided; CH = 	1	1	1	0	1	0	0	0	0	1a737cce03358728597a2db6ed6a2732	None	TRUE	4	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	33.48587	-88.34758	NAD27
0.00841759	NA	04EM1000-2014-I-0747	4	MS	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	"Cell Tower, Hollandale Project Num. MS-0080, Washington County"	Federal Communications Commission	2014	2014	2014	8/4/14	NA	9/3/14	8/25/14	21	8/25/14	Yes	No	No	No	Informal Consultation	Standard	communications tower - new construction	communications tower	No ARRA funding	WGS84	NA	NA	32	12	48.4	-90	52	21.5	NA	NA	NA		 	1	0	NA	NA	NA	NA	0	NA	NA	e17a614fbfe58dff144ec3c7fe8e7cc0	None	TRUE	4	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	32.21329	-90.87253	NAD27
0.010009292	NA	05E2PA00-2013-I-0817	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	Creek Road Culvert Replacement Upper Mount Bethel Township	-- OTHER: CONSULTANT --	2013	2013	2013	5/24/13	NA	6/23/13	7/15/13	52	7/15/13	No	No	No	No	Informal Consultation	Standard	stream / waterbody - modification - culvert / pipe	stream / waterbody	No ARRA funding	WGS84	40.901155	-75.201201	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Turtle, bog (=Muhlenberg) (Clemmys muhlenbergii)"	bog (=muhlenberg) turtle (clemmys muhlenbergii): BO = NLAA - Concurrence Provided; CH = 	1	1	0	1	1	0	0	0	0	cf9e7ee4226694592b7f786c3d5634a9	None	TRUE	5	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	40.90106	-75.20158	NAD27
0.010557823	NA	04EN2000-2012-I-0412	4	NC	RALEIGH ECOLOGICAL SERVICES FIELD OFFICE	NCDOT P-4405K	Federal Highway Administration	2012	2014	2014	9/11/14	NA	10/11/14	9/12/14	1	9/12/14	Yes	No	No	No	Informal Consultation	Standard	transport - road / highway - maintenance / modification / replacement / upgrade - federal	transportation	No ARRA funding	WGS84	36.047737	-79.06972	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Wedgemussel, dwarf (Alasmidonta heterodon)"	 	1	0	NA	NA	NA	NA	0	NA	NA	304cfbc2b02f8a36bc3593f05162ee15	None	TRUE	4	RALEIGH ECOLOGICAL SERVICES FIELD OFFICE	36.0476	-79.06999	NAD27
0.011152962	NA	21410-2011-I-0310	2	TX	CORPUS CHRISTI ECOLOGICAL SERVICES FIELD OFFICE	City of Mission - 1420 Dunlap Ave - SFH rehab	Community Planning and Development (HUD)	2011	2011	2011	5/10/11	NA	6/9/11	5/11/11	1	5/11/11	Yes	No	No	No	Informal Consultation	Standard	development - residential	development	No ARRA funding	WGS84	NA	NA	26	13	14.4	-98	19	32.8	NA	NA	NA	"Jaguarundi, Sinaloan (Herpailurus (=Felis) yagouaroundi tolteca); Plover, mountain (Charadrius montanus); Falcon, northern aplomado (Falco femoralis septentrionalis); Ayenia, Texas (Ayenia limitaris); Ocelot (Leopardus (=Felis) pardalis); Manioc, Walkers (Manihot walkerae); Cactus, star (Astrophytum asterias)"	"gulf coast jaguarundi (herpailurus (=felis) yagouaroundi cacomitli): BO = No Effect - No Concurrence Required; CH = , mountain plover (charadrius montanus): BO = No Effect - No Concurrence Required; CH = , northern aplomado falcon (falco femoralis septentrionalis): BO = No Effect - No Concurrence Required; CH = , ocelot (leopardus (=felis) pardalis): BO = No Effect - No Concurrence Required; CH = , star cactus (astrophytum asterias): BO = No Effect - No Concurrence Required; CH = , texas ayenia (ayenia limitaris): BO = No Effect - No Concurrence Required; CH = , walkers manioc (manihot walkerae): BO = No Effect - No Concurrence Required; CH = )"	7	7	7	0	NA	0	0	0	0	456c52cac14ad7d5b331d34961bba8c2	None	TRUE	2	CORPUS CHRISTI ECOLOGICAL SERVICES FIELD OFFICE	26.22032	-98.32548	NAD27
0.011260052	NA	31440-2010-I-0089	3	IN	BLOOMINGTON ECOLOGICAL SERVICES FIELD OFFICE	NSWC Crane - Waterline Replacement	Department of Defense (DOD) - Navy	2010	2010	2010	10/27/09	NA	11/26/09	10/29/09	2	10/29/09	Yes	No	No	No	Informal Consultation	Standard	water supply pipeline - maintenance / modification / replacement / upgrade - below ground	water supply pipeline	No ARRA funding	WGS84	NA	NA	NA	NA	NA	NA	NA	NA	4302146	511348	16	"Bat, Indiana (Myotis sodalis)"	indiana bat (myotis sodalis): BO = NLAA - Concurrence Provided; CH = 	1	1	0	1	1	0	0	0	0	a7feaa8cd85aeff5b08a0d572f5096d6	None	TRUE	3	BLOOMINGTON ECOLOGICAL SERVICES FIELD OFFICE	38.86804	-86.86919	NAD27
0.01143856	NA	03E12000-2014-I-0019	3	IN	BLOOMINGTON ECOLOGICAL SERVICES FIELD OFFICE	Costco Wholesale Retail Center	-- OTHER: CONSULTANT --	2014	2014	2014	10/30/13	NA	11/29/13	11/4/13	5	11/4/13	Yes	No	No	No	Informal Consultation	Standard	development - commercial	development	No ARRA funding	NAD27	NA	NA	NA	NA	NA	NA	NA	NA	4618880	568903	16	"Bat, northern long-eared (Myotis septentrionalis); Bat, Indiana (Myotis sodalis); Massasauga (=Rattlesnake), eastern (Sistrurus catenatus); Snake, copperbelly water (Nerodia erythrogaster neglecta)"	 	4	0	NA	NA	NA	NA	0	NA	NA	83ce3a0a0288ffbb92c0d8763910484a	83ce3a0a0288ffbb92c0d8763910484a	TRUE	3	BLOOMINGTON ECOLOGICAL SERVICES FIELD OFFICE	41.71869	-86.17165	NAD27
0.011608361	NA	04ES1000-2014-I-0285	4	SC	SOUTH CAROLINA ECOLOGICAL SERVICES	"Terracon-Project Circle, Gray Court, Laurens Co., SC"	-- OTHER: CONSULTANT --	2014	2014	2014	6/3/14	NA	7/3/14	6/23/14	20	6/23/14	Yes	No	No	No	Informal Consultation	Standard	development - commercial	development	No ARRA funding	WGS84	34.649611	-82.166561	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Heelsplitter, Carolina (Lasmigona decorata)"	 	1	0	NA	NA	NA	NA	0	NA	NA	9f2c2d0d4457537527fed3d9f8666377	None	TRUE	4	SOUTH CAROLINA ECOLOGICAL SERVICES	34.64949	-82.16673	NAD27
0.011751194	NA	42430-2009-I-0121	4	TN	TENNESSEE ECOLOGICAL SERVICES FIELD OFFICE	QORE  Cell Tower Num.Sharon	Federal Communications Commission	2009	2009	2009	1/14/09	NA	1/30/09	1/15/09	1	1/15/09	Yes	No	No	No	Informal Consultation	Standard	communications tower - new construction	communications tower	No ARRA funding	NAD83	36.23433	-88.81162	NA	NA	NA	NA	NA	NA	NA	NA	NA		 	1	0	NA	NA	NA	NA	0	NA	NA	2673d5e1b1395cd164238cd90b6b28c8	None	TRUE	4	TENNESSEE ECOLOGICAL SERVICES FIELD OFFICE	36.23427	-88.81156	NAD27
0.014537175	NA	04EM1000-2013-I-1129	4	MS	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	"Harmon Springs Rd. Bridge, Itawamba Coounty"	Federal Highway Administration	2013	2013	2014	9/25/13	NA	10/25/13	10/18/13	23	10/18/13	Yes	No	No	No	Informal Consultation	Standard	bridge - maintenance / modification / replacement / upgrade - federal	bridge	No ARRA funding	WGS84	NA	NA	34	9	14.3	-88	17	30.3	NA	NA	NA		 	1	0	NA	NA	NA	NA	0	NA	NA	e17a614fbfe58dff144ec3c7fe8e7cc0	None	TRUE	4	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	34.15387	-88.29171	NAD27
0.014850039	NA	65411-2011-I-0141	6	UT	UTAH ECOLOGICAL SERVICES FIELD OFFICE	"EA for NWBSN HA 707 N Main, Brigham City"	Bureau of Indian Affairs	2011	2011	2011	5/17/11	NA	6/16/11	5/17/11	0	5/17/11	Yes	No	No	No	Informal Consultation	Standard	development	development	No ARRA funding	NAD83	41.525081	-112.015698	NA	NA	NA	NA	NA	NA	NA	NA	NA		no species defined; CH = No Effect - Concurrence Provided; CH = 	1	1	1	0	1	0	0	0	0	b9e6de5e27da6148e45c759742cc0f26	None	TRUE	6	UTAH ECOLOGICAL SERVICES FIELD OFFICE	41.52515	-112.01492	NAD27
0.015165932	NA	05E2PA00-2014-I-0021	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	Rutters Dairy WWTP Improvement	-- OTHER: CONSULTANT --	2014	2014	2014	10/17/13	NA	11/16/13	11/7/13	21	11/7/13	Yes	No	No	No	Informal Consultation	Standard	wastewater facility	wastewater facility	No ARRA funding	WGS84	NA	NA	39	59	30.8	-76	44	27.5	NA	NA	NA	"Turtle, bog (=Muhlenberg) (Clemmys muhlenbergii)"	bog (=muhlenberg) turtle (clemmys muhlenbergii): BO = No Effect - Concurrence Provided; CH = 	1	1	1	0	1	0	0	0	0	cf9e7ee4226694592b7f786c3d5634a9	None	TRUE	5	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	39.99179	-76.74128	NAD27
0.015178365	NA	41910-2008-I-0269	4	FL	NORTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	Multi-Family Pier	Army Corps of Engineers	2008	2008	2008	3/27/08	NA	4/26/08	3/27/08	0	3/27/08	Yes	No	No	No	Informal Consultation	Standard	private dock / pier - new construction	private dock / pier	No ARRA funding	WGS84	NA	NA	28	21	9	-80	43	27	NA	NA	NA	"Manatee, West Indian (Trichechus manatus)"	 	1	0	NA	NA	NA	NA	0	NA	NA	f2f7e23e7201c77f79996f19f917f871	f2f7e23e7201c77f79996f19f917f871	TRUE	4	NORTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	28.35222	-80.72439	NAD27
0.01532845	NA	04EM1000-2012-I-0693	4	MS	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	"mda 155 barton agricola road, lucedale"	Department of Housing and Urban Development	2012	2012	2012	4/24/12	NA	5/24/12	5/8/12	14	5/8/12	Yes	No	No	No	Informal Consultation	Standard	development - residential	development	No ARRA funding	WGS84	NA	NA	30	45	50.2	-88	35	36.1	NA	NA	NA		 	1	0	NA	NA	NA	NA	0	NA	NA	75e05c08de2ac8174753d5dca0def920	None	TRUE	4	MISSISSIPPI ECOLOGICAL SERVICES FIELD OFFICE	30.76375	-88.59334	NAD27
0.015984777	NA	52420-2009-I-1602	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	LeBoeuf Lake Crossing	-- OTHER: CONSULTANT --	2009	2009	2010	9/14/09	NA	10/14/09	10/1/09	17	10/1/09	Yes	No	No	No	Informal Consultation	Standard	stream / waterbody - modification - culvert / pipe	stream / waterbody	No ARRA funding	WGS84	NA	NA	41	56	13.8	-79	58	33.9	NA	NA	NA	"Riffleshell, northern (Epioblasma torulosa rangiana); Clubshell (Pleurobema clava)"	"clubshell (pleurobema clava): BO = NLAA - Concurrence Provided; CH = , northern riffleshell (epioblasma torulosa rangiana): BO = NLAA - Concurrence Provided; CH = )"	2	2	0	2	2	0	0	0	0	7374dbb1a08095e21f7ea24479eed338	None	TRUE	5	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	41.93711	-79.97631	NAD27
0.016236095	NA	52420-2011-I-0828	5	PA	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	Appalachia Midstream Mildred Gas Pipeline	-- OTHER: CONSULTANT --	2011	2011	2011	5/13/11	NA	6/12/11	7/20/11	68	7/20/11	No	No	No	No	Informal Consultation	Standard	oil or gas pipeline	oil or gas pipeline	No ARRA funding	WGS84	41.491107	-76.366454	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Bat, Indiana (Myotis sodalis)"	 	1	0	NA	NA	NA	NA	0	NA	NA	7374dbb1a08095e21f7ea24479eed338	None	TRUE	5	PENNSYLVANIA ECOLOGICAL SERVICES FIELD OFFICE	41.49103	-76.36679	NAD27
0.016856962	NA	33410-2008-I-0065	3	MO	COLUMBIA ECOLOGICAL SERVICES FIELD OFFICE	Replacement Butler County Road 104 Bridge	Federal Highway Administration	2008	2008	2008	10/22/07	NA	11/22/07	11/21/07	30	11/21/07	Yes	No	No	No	Informal Consultation	Standard	bridge - maintenance / modification / replacement / upgrade - non federal	bridge	No ARRA funding	WGS84	NA	NA	36	52	37	-90	34	44	NA	NA	NA		no species present; CH = No Effect - Concurrence Provided; CH = 	1	1	1	0	1	0	0	0	0	11f3a811abf70caf55427877488d97fa	55a12357879e4902afe570dd75163050	TRUE	3	COLUMBIA ECOLOGICAL SERVICES FIELD OFFICE	36.87689	-90.57877	NAD27
0.017076942	NA	21440-2008-I-0244	2	OK	OKLAHOMA ECOLOGICAL SERVICES FIELD OFFICE	Lehigh South Tower - BenchmarkTower	Federal Communications Commission	2008	2008	2008	7/25/08	NA	8/24/08	7/25/08	0	7/25/08	Yes	No	No	No	Informal Consultation	Standard	communications tower - new construction	communications tower	No ARRA funding	WGS84	34.44568	-96.209983	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Beetle, American burying (Nicrophorus americanus)"	american burying beetle (nicrophorus americanus): BO = NLAA - Concurrence Provided; CH = 	1	1	0	1	1	0	0	0	0	a778c69b07c6c110c456514a3b8208cf	None	TRUE	2	OKLAHOMA ECOLOGICAL SERVICES FIELD OFFICE	34.44559	-96.20971	NAD27
0.017661295	NA	41420-2008-I-0084	4	FL	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	National Key Deer Refuge CCP and EA IntraService Section 7	Fish and Wildlife Service	2008	2008	2008	10/30/07	NA	11/30/07	12/12/07	43	12/12/07	No	No	No	No	Informal Consultation	Standard	fire - prescribed burn	fire	No ARRA funding	NAD83	24.675871	-81.366035	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Rice rat (Oryzomys palustris natator); Rabbit, Lower Keys marsh (Sylvilagus palustris hefneri); Flax, sand (Linum arenicola); Snake, eastern indigo (Drymarchon corais couperi)"	"eastern indigo snake (drymarchon corais couperi): BO = NLAA - Concurrence Provided; CH = , lower keys marsh rabbit (sylvilagus palustris hefneri): BO = NLAA - Concurrence Provided; CH = , rice rat (oryzomys palustris natator): BO = NLAA - Concurrence Provided; CH = Non-jeopardy, sand flax (linum arenicola): BO = NLAA - Concurrence Provided; CH = )"	4	4	0	4	4	0	0	0	0	7fdefe27884624fa966175e07e4e3e75	72ec12276768018991e2736ad71a11df	TRUE	4	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	24.67545	-81.36623	NAD27
