activity_code	action_found	lat_dec_deg.x	long_dec_deg.x	hab_chg	area	act_start	act_end	completed	earliest_date	relevant_dates	comments	region	state	ESOffice.x	title	lead_agency	FY	start_date	date_formal_consult	due_date	FWS_concl_date	elapsed	consult_complex	work_type	work_category	UTM_zone	with_coord	N_consultations	JM_expect	TK_expect	reconcile	N_formal	formal_in	observed
04ET1000-2015-F-0382	1.0	35.86571	-83.532534	5.0	4.36	2015-10-01T00:00:00Z	NA	0.0	1992-03-01	10-2014; 10-2015	NA	4	TN	TENNESSEE ECOLOGICAL SERVICES FIELD OFFICE	S&amp;ME Polestar Development Sevierville Sevier Co	-- OTHER: CONSULTANT --	2015	2015-04-03	42097	42232	2015-04-20	17	Standard	development - commercial	development	NA	TRUE	1809	1.0	1.0	1.0	96	formal	Yes
81420-2010-F-0475	0.0	37.01834	-119.70518	NA	NA	NA	NA	NA	1998-08-01	04-2014; 03-2015	NA	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	North Shore at Millerton Lake, Madera County, CA	Army Corps of Engineers	2010	2010-03-11	41600	41735	2014-08-27	278	Standard	development - residential	development	NA	TRUE	3713	1.0	1.0	1.0	101	formal	No
13410-2010-F-0119	0.0	48.22869	-121.58143	NA	NA	NA	NA	NA	1989-09-01	11-2011; 07-2013; 03-2014	NA	1	WA	WASHINGTON FISH AND WILDLIFE OFFICE	Clear Creek Properties Bank Stabilization and Riprap Removal	Army Corps of Engineers	2010	2009-12-14	41010	41011	2012-07-11	91	Standard	stream / waterbody - modification - bank stabilization / armoring	stream / waterbody	10	TRUE	516	0.5	0.5	0.5	61	formal	No
81420-2009-F-1206	0.5	38.984944	-119.685694	3.0	1.0	2014-04-01T00:00:00Z	2014-04-01T00:00:00Z	1.0	1994-06-01	06-2013; 04-2014; 04-2015	Screenshots	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	Millerton Road Widening Project in Fresno County	Army Corps of Engineers	2009	2011-03-29	41246	41381	2013-10-22	323	Standard	transportation - road / highway	transportation	NA	TRUE	1380	0.5	1.0	0.5	306	formal	Maybe
81420-2008-F-0156	1.0	38.62787	-121.06145	3.0	0.7	2009-05-01T00:00:00Z	2009-05-01T00:00:00Z	0.5	1993-05-01	06-2007; 05-2009	NA	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	Pactrust El Dorado Hills Corporate Center BO, El Dorado County	Army Corps of Engineers	2008	2007-10-15	40077	39505	2007-10-29	NA	Programmatic Project-Level	development - commercial	development	10	TRUE	1809	1.0	1.0	1.0	96	formal	Yes
81420-2009-F-0752-R002	1.0	36.44546	-119.48359	5.0	NA	2012-08-01T00:00:00Z	2014-02-01T00:00:00Z	1.0	1994-05-01	08-2012; 03-2013; 02-2014; 04-2014; 03-2015	NA	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	3rd Reinitiation of Goshen to Kingsburg 6-Lane Project, SR 99, Fresno&amp;Tulare Cos., CA	California Dept. of Transportation District 6	2009	2012-02-22	41008	41143	2013-02-04	301	Standard	transportation - road / highway	transportation	11	TRUE	1380	0.5	1.0	0.5	306	formal	Yes
41420-2008-F-0872	0.0	26.768862	-80.036309	NA	NA	NA	NA	NA	1995-01-01	02-2008; 01-2009; 12-2010	NA	4	FL	SOUTH FLORIDA ECOLOGICAL SERVICES FIELD OFFICE	Palm Beach Harbor Maintenance Dredging and Beach Placement	Army Corps of Engineers	2008	2008-10-27	38603	39828	2008-11-04	1153	Standard	transport - shipping - inland waterway / navigation	transportation	NA	TRUE	30	0.0	0.0	0.0	11	formal	No
13410-2011-F-0213	1.0	47.47839	-124.25303	3.0	61.51	2011-11-01T00:00:00Z	2013-10-01T00:00:00Z	0.5	1994-07-01	03-2011; 05-2011; 11-2011; 10-2013	NA	1	WA	WASHINGTON FISH AND WILDLIFE OFFICE	Wolf Tail Logging Unit	Bureau of Indian Affairs	2011	2011-04-25	40658	40688	2011-04-28	3	Programmatic Project-Level	forestry - timber sale	forestry	10	TRUE	203	0.0	NA	0.5	95	formal	Yes
61130-2010-F-0164	1.0	46.117261	-114.170519	1.0	0.7	2010-09-01T00:00:00Z	2010-09-01T00:00:00Z	1.0	1995-07-01	09-2009; 09-2010; 11-2011	Screenshots	6	MT	MONTANA ECOLOGICAL SERVICES FIELD OFFICE	Daly Ditches Irrigation District Hedge Diversion Dam Replacement Project	Army Corps of Engineers	2010	2009-11-13	40130	40265	2009-11-30	17	Standard	agriculture - irrigation - intake - maintenance / modification / replacement / upgrade	agriculture	NA	TRUE	23	0.0	NA	0.0	12	formal	Yes
84320-2008-F-0434-R001	0.0	38.77035	-120.02705	NA	NA	NA	NA	NA	1940-12-01	09-2010; 06-2011; 06-2012… 04-2015	NA	8	NV	NEVADA FISH AND WILDLIFE OFFICE	LTBMU- Upper Truckee River LCT Restoration Project	Forest Service	2008	2010-09-09	40430	40565	2010-10-22	43	Standard	stream restoration / enhancement	stream restoration / enhancement	10	TRUE	457	0.5	0.5	0.5	89	formal	No
08ESMF00-2015-F-0048	0.0	38.21171	-122.70699	NA	NA	NA	NA	NA	1993-07-01	42064	No after pictures	8	CA	SACRAMENTO FISH AND WILDLIFE OFFICE	James Property Pond Improvement Project	Army Corps of Engineers	2015	2014-11-25	42079	42214	2015-04-23	38	Standard	stream restoration / enhancement	stream restoration / enhancement	10	TRUE	457	0.5	0.5	0.5	89	formal	No
14420-2010-F-0185	0.0	44.5205	-115.6726	NA	NA	NA	NA	NA	1998-08-01	08-2009; 06-2013	NA	1	ID	IDAHO FISH AND WILDLIFE OFFICE	Curtis and Mormon Creeks Fish Passage Restoration Project	Department of Agriculture	2010	2010-02-02	40211	40346	2010-03-31	57	Standard	stream / waterbody - modification - culvert / pipe	stream / waterbody	NA	TRUE	694	0.0	0.0	0.0	37	formal	No
14420-2010-F-0373	0.0	44.895206	-113.854093	NA	NA	NA	NA	NA	1992-08-01	08-2009; 12-2011; 06-2014	NA	1	ID	IDAHO FISH AND WILDLIFE OFFICE	EIFO 10 - North Basin Grazing Allotment	Forest Service	2010	2010-05-05	40303	40438	2010-07-27	83	Standard	agriculture - grazing - ongoing activities - cattle	agriculture	NA	TRUE	114	0.0	0.0	0.0	38	formal	No
21450-2009-F-0045	1.0	30.298006	-97.927094	5.0	7.0	2011-03-01T00:00:00Z	2012-08-01T00:00:00Z	1.0	1995-01-01	10-2008; 02-2009; 11-2009; 03-2011; 08-2012	NA	2	TX	AUSTIN ECOLOGICAL SERVICES FIELD OFFICE	SH 71 Travis County, Texas	Federal Highway Administration	2009	2008-12-18	39800	39935	2009-02-24	68	Standard	transport - road / highway - maintenance / modification / replacement / upgrade - federal	transportation	NA	TRUE	1434	0.5	0.5	0.5	105	formal	Yes
